标题,价格(元/月),面积,片区,lng,lat,nearest_station_id,distance_km
整租·万科阳光苑 2室2厅 南/北,5400,90.40㎡,闵行-吴泾-万科阳光苑,121.436307,31.188334,1号线,0.6212
整租·恒基旭辉中心(公寓) 3室2厅 南/北,11000,113.43㎡,闵行-华漕-恒基旭辉中心(公寓),121.317028,31.211977,17号线,1.999
整租·西郊庄园马德里洋房 1室2厅 南,10000,88.06㎡,闵行-华漕-西郊庄园马德里洋房,121.290698,31.201288,17号线,1.0885
整租·新华小区（龙吴路5599弄） 2室1厅 南,4000,81.28㎡,闵行-吴泾-新华小区（龙吴路5599弄）,121.466848,31.039223,15号线,2.257
整租·日月华城 3室2厅 南,6200,123.80㎡,闵行-颛桥-日月华城,121.38956,31.066022,5号线,1.1796
整租·颛溪五村 2室2厅 南/西南,4000,78.48㎡,闵行-颛桥-颛溪五村,121.395423,31.065882,5号线,0.6277
整租·西环二村 2室1厅 南,4500,66.36㎡,闵行-莘庄北广场-西环二村,121.3659,31.103395,5号线,1.9838
整租·平阳绿家园 2室2厅 南,6600,92.01㎡,闵行-古美-平阳绿家园,121.400437,31.156156,12号线,0.5554
整租·金色西郊城 3室2厅 南,7300,120.00㎡,闵行-华漕-金色西郊城,121.328099,31.223999,13号线,2.017
整租·浦恒馨苑 3室2厅 南,7500,123.97㎡,闵行-浦江-浦恒馨苑,121.483819,31.113395,市域机场线,1.4312
整租·高兴花园二三四街坊 2室1厅 南,4300,67.41㎡,闵行-春申-高兴花园二三四街坊,121.404495,31.112327,1号线,1.4494
整租·万科阳光苑 3室1厅 南,5500,89.28㎡,闵行-吴泾-万科阳光苑,121.436307,31.188334,1号线,0.6212
整租·新时代花园 2室2厅 南,8300,88.56㎡,闵行-古美-新时代花园,121.400437,31.156156,12号线,0.5554
整租·公园1872北区 3室1厅 南,5800,108.00㎡,闵行-吴泾-公园1872北区,121.436307,31.188334,1号线,0.6212
整租·名都城(公寓) 3室2厅 南/北,12800,139.16㎡,闵行-金虹桥-名都城(公寓),121.436307,31.188334,1号线,0.6212
整租·爱博一村 2室2厅 南/北,6500,83.75㎡,闵行-华漕-爱博一村,121.31115,31.207346,17号线,1.6536
整租·南洋博仕欣居 3室2厅 南/北,8800,133.29㎡,闵行-老闵行-南洋博仕欣居,121.425001,31.015924,5号线,0.5483
整租·万顺苑 3室2厅 南,5900,128.00㎡,闵行-颛桥-万顺苑,121.422142,31.044117,5号线,1.159
整租·爱博三村 2室1厅 南/北,4800,60.00㎡,闵行-华漕-爱博三村,121.310695,31.209729,17号线,1.9108
整租·平吉一村 2室2厅 南,5700,70.57㎡,闵行-古美-平吉一村,121.400437,31.156156,12号线,0.5554
整租·吴泾新村 1室1厅 南,3000,45.00㎡,闵行-吴泾-吴泾新村,121.4651,31.044504,15号线,2.1728
整租·古北中央公园 3室2厅 南/北,31000,139.68㎡,闵行-金虹桥-古北中央公园,121.397262,31.199617,15号线,0.1348
整租·光大花园 3室2厅 南,10800,139.40㎡,闵行-金虹桥-光大花园,121.436307,31.188334,1号线,0.6212
整租·白雪公主 2室2厅 南,7000,93.34㎡,闵行-七宝-白雪公主,121.436307,31.188334,1号线,0.6212
整租·紫竹半岛花园 3室1厅 南,8200,135.87㎡,闵行-吴泾-紫竹半岛花园,121.436307,31.188334,1号线,0.6212
整租·正峰苑 2室1厅 南,4900,88.00㎡,闵行-颛桥-正峰苑,121.383957,31.092084,5号线,0.674
整租·静安新城十二区 1室1厅 南,5130,56.24㎡,闵行-静安新城-静安新城十二区,121.378809,31.158686,9号线,0.9466
整租·瑞和雅苑壹街区 1室1厅 南,2800,51.46㎡,闵行-闵浦-瑞和雅苑壹街区,121.539469,31.067607,浦江线,1.7186
整租·东川花苑 2室1厅 南,4400,58.69㎡,闵行-老闵行-东川花苑,121.436307,31.188334,1号线,0.6212
整租·红星国际广场 1室1厅 东,3600,35.53㎡,闵行-浦江-红星国际广场,121.511129,31.077456,8号线,0.4341
整租·绿地新干线 2室1厅 南/北,3300,64.70㎡,闵行-颛桥-绿地新干线,121.419147,31.030448,5号线,0.5032
整租·安宁欧洲花园 3室2厅 南,6500,130.00㎡,闵行-老闵行-安宁欧洲花园,121.416128,31.01531,5号线,0.4819
整租·永康城锦宏苑 2室1厅 南/北,3500,85.00㎡,闵行-浦江-永康城锦宏苑,121.511236,31.031146,浦江线,1.4301
整租·华光公寓 3室1厅 南,8000,68.30㎡,闵行-金虹桥-华光公寓,121.397128,31.182734,15号线,1.3179
整租·东苑佳和园 1室1厅 南,3800,66.32㎡,闵行-老闵行-东苑佳和园,121.433739,31.011786,5号线,1.2073
整租·上海康城 2室2厅 南,4800,98.16㎡,闵行-莘闵别墅-上海康城,121.436307,31.188334,1号线,0.6212
整租·夏朵园 3室2厅 南/北,4600,114.60㎡,闵行-老闵行-夏朵园,121.396038,31.024999,5号线,1.945
整租·银都新村(1至7区) 2室2厅 南/北,3800,56.65㎡,闵行-莘庄南广场-银都新村(1至7区),121.395561,31.094471,5号线,0.7605
整租·名都古北 2室2厅 南,14000,120.86㎡,闵行-金虹桥-名都古北,121.397262,31.199617,15号线,0.1348
整租·马桥景城馨苑 3室1厅 东南/北,4400,96.10㎡,闵行-老闵行-马桥景城馨苑,121.359718,31.038531,5号线,4.309
整租·景舒苑九村 2室1厅 南/北,4800,90.00㎡,闵行-浦江-景舒苑九村,121.492972,31.071769,8号线,1.6932
整租·泽雅苑 2室2厅 南,5000,88.00㎡,闵行-华漕-泽雅苑,121.282164,31.234498,13号线,3.6107
整租·大上海国际花园酒店公寓 1室1厅 南,4500,42.49㎡,闵行-静安新城-大上海国际花园酒店公寓,121.380683,31.163337,9号线,0.5274
整租·公园1872北区 3室2厅 南,6800,106.02㎡,闵行-吴泾-公园1872北区,121.436307,31.188334,1号线,0.6212
整租·上海春城 2室1厅 南/北,5900,99.00㎡,闵行-春申-上海春城,121.408793,31.104197,15号线,1.0722
整租·中梅苑四期 2室2厅 南,6500,94.78㎡,闵行-梅陇-中梅苑四期,121.412822,31.14129,1号线,0.1599
整租·新汇绿苑一村 2室1厅 南/北,3400,94.00㎡,闵行-闵浦-新汇绿苑一村,121.436307,31.188334,1号线,0.6212
整租·金虹大厦 3室2厅 南,10200,142.21㎡,闵行-金虹桥-金虹大厦,121.399222,31.182776,15号线,1.1894
整租·万科城市花园 1室1厅 南,4100,42.00㎡,闵行-七宝-万科城市花园,121.342838,31.158824,9号线,0.7239
整租·爱博六村 2室2厅 南,5750,85.00㎡,闵行-华漕-爱博六村,121.308952,31.221139,13号线,2.4114
整租·振宏小区 3室1厅 南,10000,99.12㎡,闵行-金虹桥-振宏小区,121.405445,31.189639,15号线,0.2308
整租·闵浦新苑四村 3室2厅 南/北,4400,122.00㎡,闵行-闵浦-闵浦新苑四村,121.532988,31.0622,浦江线,0.8611
整租·爱博四村 2室2厅 南,6500,84.00㎡,闵行-华漕-爱博四村,121.30695,31.213451,17号线,2.4387
整租·绿梅二村 2室1厅 南/北,4500,56.71㎡,闵行-莘庄北广场-绿梅二村,121.436307,31.188334,1号线,0.6212
